Year,Month,Day,Hour,Minute,GHI
2018,1,27,4,30,0
2018,1,27,5,30,0
2018,1,27,6,30,0
2018,1,27,7,30,0
2018,1,27,8,30,0
2018,1,27,9,30,0
2018,1,27,10,30,0
2018,1,27,11,30,0
2018,1,27,12,30,0
2018,1,27,13,30,0
2018,1,27,14,30,0
2018,1,27,15,30,18
2018,1,27,16,30,184
2018,1,27,17,30,344
2018,1,27,18,30,493
2018,1,27,19,30,572
2018,1,27,20,30,591
2018,1,27,21,30,520
2018,1,27,22,30,398
2018,1,27,23,30,297
2018,1,28,0,30,123
2018,1,28,1,30,1
2018,1,28,2,30,0
2018,1,28,3,30,0
2018,1,28,4,30,0
2018,1,28,5,30,0
2018,1,28,6,30,0
2018,1,28,7,30,0
2018,1,28,8,30,0
2018,1,28,9,30,0
2018,1,28,10,30,0
2018,1,28,11,30,0
2018,1,28,12,30,0
2018,1,28,13,30,0
2018,1,28,14,30,0
2018,1,28,15,30,32
2018,1,28,16,30,196
2018,1,28,17,30,370
2018,1,28,18,30,509
2018,1,28,19,30,592
2018,1,28,20,30,612
2018,1,28,21,30,567
2018,1,28,22,30,464
2018,1,28,23,30,311
2018,1,29,0,30,128
2018,1,29,1,30,1
2018,1,29,2,30,0
2018,1,29,3,30,0
2018,1,29,4,30,0
2018,1,29,5,30,0
2018,1,29,6,30,0
2018,1,29,7,30,0
2018,1,29,8,30,0
2018,1,29,9,30,0
2018,1,29,10,30,0
2018,1,29,11,30,0
2018,1,29,12,30,0
2018,1,29,13,30,0
2018,1,29,14,30,0
2018,1,29,15,30,19
2018,1,29,16,30,116
2018,1,29,17,30,183
2018,1,29,18,30,214
2018,1,29,19,30,273
2018,1,29,20,30,278
2018,1,29,21,30,273
2018,1,29,22,30,186
2018,1,29,23,30,115
2018,1,30,0,30,80
2018,1,30,1,30,1
2018,1,30,2,30,0
2018,1,30,3,30,0
2018,1,30,4,30,0
2018,1,30,5,30,0
2018,1,30,6,30,0
2018,1,30,7,30,0
2018,1,30,8,30,0
2018,1,30,9,30,0
2018,1,30,10,30,0
2018,1,30,11,30,0
2018,1,30,12,30,0
2018,1,30,13,30,0
2018,1,30,14,30,0
2018,1,30,15,30,34
2018,1,30,16,30,196
2018,1,30,17,30,373
2018,1,30,18,30,411
2018,1,30,19,30,594
2018,1,30,20,30,576
2018,1,30,21,30,568
2018,1,30,22,30,464
2018,1,30,23,30,306
2018,1,31,0,30,137
2018,1,31,1,30,2
2018,1,31,2,30,0
2018,1,31,3,30,0
2018,1,31,4,30,0
2018,1,31,5,30,0
2018,1,31,6,30,0
2018,1,31,7,30,0
2018,1,31,8,30,0
2018,1,31,9,30,0
2018,1,31,10,30,0
2018,1,31,11,30,0
2018,1,31,12,30,0
2018,1,31,13,30,0
2018,1,31,14,30,0
2018,1,31,15,30,29
2018,1,31,16,30,208
2018,1,31,17,30,386
2018,1,31,18,30,523
2018,1,31,19,30,605
2018,1,31,20,30,622
2018,1,31,21,30,563
2018,1,31,22,30,422
2018,1,31,23,30,288
2018,2,1,0,30,102
2018,2,1,1,30,3
2018,2,1,2,30,0
2018,2,1,3,30,0
2018,2,1,4,30,0
2018,2,1,5,30,0
2018,2,1,6,30,0
2018,2,1,7,30,0
2018,2,1,8,30,0
2018,2,1,9,30,0
2018,2,1,10,30,0
2018,2,1,11,30,0
2018,2,1,12,30,0
2018,2,1,13,30,0
2018,2,1,14,30,0
2018,2,1,15,30,24
2018,2,1,16,30,156
2018,2,1,17,30,278
2018,2,1,18,30,405
2018,2,1,19,30,526
2018,2,1,20,30,499
2018,2,1,21,30,542
2018,2,1,22,30,432
2018,2,1,23,30,278
2018,2,2,0,30,100
2018,2,2,1,30,3
2018,2,2,2,30,0
2018,2,2,3,30,0
2018,2,2,4,30,0
2018,2,2,5,30,0
2018,2,2,6,30,0
2018,2,2,7,30,0
2018,2,2,8,30,0
2018,2,2,9,30,0
2018,2,2,10,30,0
2018,2,2,11,30,0
2018,2,2,12,30,0
2018,2,2,13,30,0
2018,2,2,14,30,0
2018,2,2,15,30,40
2018,2,2,16,30,209
2018,2,2,17,30,380
2018,2,2,18,30,483
2018,2,2,19,30,494
2018,2,2,20,30,520
2018,2,2,21,30,498
2018,2,2,22,30,467
2018,2,2,23,30,314
2018,2,3,0,30,105
2018,2,3,1,30,4
2018,2,3,2,30,0
2018,2,3,3,30,0
2018,2,3,4,30,0
2018,2,3,5,30,0
2018,2,3,6,30,0
2018,2,3,7,30,0
2018,2,3,8,30,0
2018,2,3,9,30,0
2018,2,3,10,30,0
2018,2,3,11,30,0
2018,2,3,12,30,0
2018,2,3,13,30,0
2018,2,3,14,30,0
2018,2,3,15,30,43
2018,2,3,16,30,215
2018,2,3,17,30,389
2018,2,3,18,30,525
2018,2,3,19,30,607
2018,2,3,20,30,626
2018,2,3,21,30,583
2018,2,3,22,30,480
2018,2,3,23,30,328
2018,2,4,0,30,150
2018,2,4,1,30,7
2018,2,4,2,30,0
2018,2,4,3,30,0
2018,2,4,4,30,0
2018,2,4,5,30,0
2018,2,4,6,30,0
2018,2,4,7,30,0
2018,2,4,8,30,0
2018,2,4,9,30,0
2018,2,4,10,30,0
2018,2,4,11,30,0
2018,2,4,12,30,0
2018,2,4,13,30,0
2018,2,4,14,30,0
2018,2,4,15,30,30
2018,2,4,16,30,175
2018,2,4,17,30,299
2018,2,4,18,30,436
2018,2,4,19,30,406
2018,2,4,20,30,452
2018,2,4,21,30,462
2018,2,4,22,30,365
2018,2,4,23,30,322
2018,2,5,0,30,153
2018,2,5,1,30,9
2018,2,5,2,30,0
2018,2,5,3,30,0
2018,2,5,4,30,0
2018,2,5,5,30,0
2018,2,5,6,30,0
2018,2,5,7,30,0
2018,2,5,8,30,0
2018,2,5,9,30,0
2018,2,5,10,30,0
2018,2,5,11,30,0
2018,2,5,12,30,0
2018,2,5,13,30,0
2018,2,5,14,30,0
2018,2,5,15,30,48
2018,2,5,16,30,222
